timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1704549600,Jan 06 2024 - 2:00pm,complete,N/A,Mozambique,Lesotho,N/A,N/A,0.00,0.00,2.00,1.00,2,0,2,1,1,0,"27,81","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A
1704554100,Jan 06 2024 - 3:15pm,complete,N/A,UAE,Oman,N/A,N/A,0.00,0.00,0.00,3.00,0,1,1,1,0,1,"","5",2,0,4,0,1,0,3,1,1,0,14,7,6,3,8,4,-1,-1,50,50,0.00,0.00,1.95,1.09,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.85,3.00,4.20,1.48,2.60,4.75,9.00,2.20,1.62,Sheikh Zayed Sports City
1704560400,Jan 06 2024 - 5:00pm,complete,N/A,Ivory Coast,Sierra Leone,N/A,N/A,0.00,0.00,2.33,0.00,5,1,6,3,3,0,"18,36,38,48,84","86",-1,-1,1,0,2,0,0,1,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.07,8.00,26.00,1.22,1.95,2.62,4.50,3.25,1.33,N/A
1704565800,Jan 06 2024 - 6:30pm,complete,N/A,Tunisia,Mauritania,N/A,N/A,0.00,0.00,1.50,0.67,0,0,0,0,0,0,"","",7,0,2,0,3,0,1,1,2,1,22,11,12,6,10,5,-1,-1,50,50,0.00,0.00,2.96,1.45,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.30,4.20,9.50,1.36,2.08,3.50,6.50,2.63,1.44,Stade Olympique de Radès
1704567600,Jan 06 2024 - 7:00pm,complete,N/A,Mali,Guinea-Bissau,N/A,N/A,0.00,0.00,3.00,0.00,6,2,8,5,3,2,"6,15,40,68,75,85","37,42",2,1,-1,-1,-1,-1,-1,-1,-1,-1,11,8,8,4,3,4,-1,-1,50,50,0.00,0.00,1.64,1.07,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.36,3.80,11.00,1.33,2.10,3.56,6.95,2.63,1.44,Stade 26 Mars
1704643200,Jan 07 2024 - 4:00pm,complete,N/A,Egypt,Tanzania,N/A,N/A,0.00,0.00,2.00,1.17,2,0,2,1,1,0,"32,73","",5,8,0,0,1,0,0,0,0,1,10,5,4,2,6,3,-1,-1,50,50,0.00,0.00,1.52,0.87,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.22,5.50,12.00,1.26,1.70,3.01,5.26,2.38,1.53,Cairo International Stadium
1704643200,Jan 07 2024 - 4:00pm,complete,N/A,Palestine,Uzbekistan,N/A,N/A,0.00,0.00,0.50,3.00,0,1,1,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Faisal Al-Husseini International Stadium
1704715200,Jan 08 2024 - 12:00pm,complete,N/A,Guinea,Nigeria,N/A,N/A,0.00,0.00,3.00,1.00,2,0,2,1,1,0,"15,65","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Faisal Al-Husseini International Stadium
1704722400,Jan 08 2024 - 2:00pm,complete,N/A,Botswana,Mozambique,N/A,N/A,0.00,3.00,1.00,2.00,1,1,2,1,1,0,"39","90'5",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,1.00,0,50,0,0,0,0,50,0,50,0.00,-1.00,3.20,3.10,2.10,1.46,2.40,4.83,9.50,2.10,1.67,N/A
1704735000,Jan 08 2024 - 5:30pm,complete,N/A,Syria,Malaysia,N/A,N/A,1.00,0.00,1.67,2.33,2,2,4,1,0,1,"70,74","39,78",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,1.00,50,50,0,0,0,0,0,50,50,0.00,-1.00,2.15,3.50,3.00,1.29,1.80,3.00,5.50,1.67,2.10,N/A
1704736800,Jan 08 2024 - 6:00pm,complete,N/A,Senegal,Niger,N/A,N/A,0.00,0.00,3.00,0.33,1,0,1,0,0,0,"90'9","",7,2,1,0,2,0,0,1,1,1,12,4,6,4,6,0,-1,-1,55,45,0.00,0.00,1.59,0.66,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.11,9.00,21.00,1.17,1.53,2.35,4.00,3.00,1.36,Stade Léopold Sédar Senghor
1704744000,Jan 08 2024 - 8:00pm,complete,N/A,Ghana,Namibia,N/A,N/A,0.00,0.00,0.67,1.00,0,0,0,0,0,0,"","",3,2,2,0,2,0,1,1,1,1,15,10,5,3,10,7,-1,-1,50,50,0.00,0.00,1.73,1.15,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.33,4.33,9.00,0.00,2.00,0.00,0.00,2.50,1.50,N/A
1704799800,Jan 09 2024 - 11:30am,complete,N/A,Japan,Jordan,N/A,N/A,3.00,3.00,3.00,1.75,6,1,7,4,4,0,"14,17,29,43,71,81","87",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.12,0.00,0.00,0.00,4.00,50,100,100,50,50,0,50,100,100,27.00,2.00,1.03,10.00,25.00,1.11,1.40,1.91,3.00,2.37,1.50,Faisal Al-Husseini International Stadium
1704805200,Jan 09 2024 - 1:00pm,complete,N/A,Zambia,Cameroon,N/A,N/A,0.00,0.00,1.67,1.00,1,1,2,2,1,1,"11","20",-1,-1,2,0,0,0,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.50,3.00,2.00,1.50,2.20,4.33,9.00,2.10,1.67,Konkola Stadium
1704805200,Jan 09 2024 - 1:00pm,complete,N/A,Kyrgyzstan,Vietnam,N/A,N/A,1.00,0.00,2.00,0.00,2,1,3,1,1,0,"31,75","63",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,1.00,50,50,0,0,0,0,0,50,50,0.00,-1.00,2.50,3.28,2.73,1.37,2.12,4.40,9.50,1.85,1.83,N/A
1704808800,Jan 09 2024 - 2:00pm,complete,N/A,Equatorial Guinea,Djibouti,N/A,N/A,0.00,0.00,1.33,1.00,1,1,2,1,1,0,"15","70",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Nuevo Estadio de Malabo
1704812400,Jan 09 2024 - 3:00pm,complete,N/A,Indonesia,Iran,N/A,N/A,0.00,3.00,0.25,3.00,0,5,5,3,0,3,"","3,24,40,72,88",-1,-1,1,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.52,0.00,0.00,0.00,3.25,75,100,100,25,0,75,100,25,75,2.50,3.00,28.00,9.40,1.14,1.18,1.57,2.46,4.50,2.96,1.42,Faisal Al-Husseini International Stadium
1704812400,Jan 09 2024 - 3:00pm,complete,N/A,Burundi,Algeria,N/A,N/A,0.00,0.00,0.33,2.33,0,4,4,2,0,2,"","1,39,87,90'3",-1,-1,0,0,1,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,12.00,5.50,1.18,1.20,1.62,2.55,4.50,2.51,1.50,Faisal Al-Husseini International Stadium
1704814200,Jan 09 2024 - 3:30pm,complete,N/A,Saudi Arabia,Palestine,N/A,N/A,3.00,0.00,2.33,0.50,0,0,0,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,1.00,0,0,0,0,0,0,0,0,50,0.00,-2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A
